county,cov1415,rank1415,cov1516,rank1516
Adair,0.93,46,0.96,24
Allen,0.97,21,0.94,38
Anderson,0.97,28,0.9,57
Ballard,0.98,13,1,1
Barren,0.82,76,0.95,32
Bath,0.59,110,0.59,108
Bell,0.3,119,0.27,120
Boone,0.96,34,0.91,48
Bourbon,0.84,71,0.65,105
Boyd,0.78,85,0.75,91
Boyle,0.97,22,0.85,75
Bracken,0.86,66,0.89,59
Breathitt,0.68,103,0.81,82
Breckinridge,0.95,37,0.89,62
Bullitt,0.79,83,0.74,95
Butler,0.6,108,0.71,99
Caldwell,0.94,43,0.8,83
Calloway,0.94,42,0.96,26
Campbell,0.95,41,0.93,43
Carlisle,0.95,39,0.87,68
Carroll,0.7,97,0.9,51
Carter,0.99,7,0.99,9
Casey,0.95,38,0.79,85
Christian,0.75,91,0.56,109
Clark,0.62,106,0.51,114
Clay,0.79,84,0.93,46
Clinton,0.96,32,0.94,36
Crittenden,0.93,45,0.9,52
Cumberland,0.62,107,0.52,113
Daviess,0.93,47,0.89,63
Edmonson,0.75,92,0.68,101
Elliott,0.93,48,0.87,67
Estill,0.78,88,0.74,94
Fayette,0.74,95,0.79,86
Fleming,0.99,4,0.99,10
Floyd,0.97,30,0.91,50
Franklin,0.56,112,0.52,112
Fulton,0.99,8,0.96,29
Gallatin,0.96,33,0.87,69
Garrard,0.81,79,0.97,23
Grant,0.78,89,0.89,64
Graves,0.85,68,0.93,41
Grayson,0.97,29,0.9,54
Green,0.97,25,0.9,53
Greenup,0.84,70,0.85,76
Hancock,0.97,24,0.97,18
Hardin,0.88,64,0.86,74
Harlan,0.66,104,0.87,66
Harrison,0.83,72,0.71,98
Hart,0.98,14,0.94,34
Henderson,0.9,58,0.86,73
Henry,0.97,19,0.96,28
Hickman,0.91,54,1,1
Hopkins,0.9,56,0.89,61
Jackson,0.97,23,0.99,6
Jefferson,0.89,61,0.83,77
Jessamine,0.93,51,0.97,20
Johnson,0.81,80,0.75,92
Kenton,0.94,44,0.9,58
Knott,0.77,90,0.74,93
Knox,0.63,105,0.55,111
LaRue,0.75,93,0.97,16
Laurel,0.49,116,0.68,104
Lawrence,0.89,60,0.82,79
Lee,0.6,109,0.46,118
Leslie,0.69,100,0.93,42
Letcher,0.93,50,0.96,27
Lewis,0.97,18,0.9,55
Lincoln,0.88,63,0.76,90
Livingston,0.57,111,0.6,107
Logan,0.82,77,0.78,87
Lyon,0.82,78,0.87,70
Madison,0.9,59,0.94,40
Magoffin,0.51,115,0.42,119
Marion,0.85,67,0.98,15
Marshall,0.96,35,0.95,30
Martin,0.98,17,0.94,39
Mason,0.47,117,0.83,78
McCracken,0.92,53,0.77,88
McCreary,0.96,31,0.97,17
McLean,0.97,26,0.99,7
Meade,0.98,15,0.97,21
Menifee,0.84,69,1,1
Mercer,0.98,11,0.95,33
Metcalfe,0.83,75,0.81,81
Monroe,0.83,73,0.87,70
Montgomery,0.99,9,0.77,89
Morgan,0.92,52,0.91,47
Muhlenberg,0.87,65,0.93,45
Nelson,0.73,96,0.74,96
Nicholas,0.99,6,0.94,37
Ohio,0.68,102,0.64,106
Oldham,0.96,36,0.98,11
Owen,0.98,16,0.98,14
Owsley,0.11,120,0.55,110
Pendleton,0.99,5,0.96,25
Perry,0.91,55,0.89,60
Pike,0.8,81,0.9,56
Powell,0.38,118,0.51,115
Pulaski,0.89,62,0.93,44
Robertson,0.93,49,1,1
Rockcastle,0.99,10,0.98,12
Rowan,0.54,113,0.49,116
Russell,0.98,12,0.97,19
Scott,0.69,101,0.72,97
Shelby,0.78,87,0.68,102
Simpson,0.9,57,0.97,22
Spencer,1,1,1,1
Taylor,0.8,82,0.86,72
Todd,0.69,99,0.81,80
Trigg,0.95,40,0.94,35
Trimble,0.99,3,0.91,49
Union,0.97,20,0.95,31
Warren,0.78,86,0.69,100
Washington,0.83,73,0.88,65
Wayne,1,1,0.99,8
Webster,0.7,98,0.48,117
Whitley,0.74,94,0.68,103
Wolfe,0.53,114,0.8,84
Woodford,0.97,26,0.98,13
